x,y,nothing
33.37380, -112.00683, 
33.37374, -112.00696, 
33.37368, -112.00708, 
33.37362, -112.00721, 
33.37354, -112.00732, 
33.37347, -112.00745, 
33.37341, -112.00758, 
33.37333, -112.00770, 
33.37327, -112.00783, 
33.37319, -112.00795, 
33.37314, -112.00808, 
33.37307, -112.00821, 
33.37300, -112.00834, 
33.37292, -112.00846, 
33.37286, -112.00859, 
33.37283, -112.00873, 
33.37279, -112.00887, 
33.37277, -112.00900, 
33.37275, -112.00915, 
33.37271, -112.00930, 
33.37270, -112.00944, 
33.37269, -112.00957, 
33.37271, -112.00970, 
33.37275, -112.00983, 
33.37281, -112.00995, 
33.37284, -112.01009, 
33.37288, -112.01022, 
33.37288, -112.01036, 
33.37289, -112.01050, 
33.37288, -112.01064, 
33.37286, -112.01078, 
33.37283, -112.01092, 
33.37281, -112.01107, 
33.37277, -112.01118, 
33.37271, -112.01130, 
33.37262, -112.01141, 
33.37252, -112.01152, 
33.37242, -112.01165, 
33.37234, -112.01175, 
33.37226, -112.01185, 
33.37217, -112.01195, 
33.37209, -112.01205, 
33.37200, -112.01215, 
33.37192, -112.01225, 
33.37184, -112.01237, 
33.37178, -112.01249, 
33.37172, -112.01262, 
33.37171, -112.01276, 
33.37171, -112.01291, 
33.37172, -112.01304, 
33.37176, -112.01315, 
33.37183, -112.01328, 
33.37188, -112.01339, 
33.37194, -112.01351, 
33.37198, -112.01364, 
33.37198, -112.01380, 
33.37196, -112.01394, 
33.37195, -112.01407, 
33.37193, -112.01420, 
33.37192, -112.01432, 
33.37191, -112.01443, 
33.37190, -112.01453, 
33.37189, -112.01465, 
33.37188, -112.01478, 
33.37189, -112.01490, 
33.37190, -112.01503, 
33.37192, -112.01516, 
33.37194, -112.01529, 
33.37197, -112.01542, 
33.37199, -112.01555, 
33.37202, -112.01568, 
33.37204, -112.01581, 
33.37206, -112.01593, 
33.37208, -112.01606, 
33.37208, -112.01618, 
33.37206, -112.01630, 
33.37204, -112.01644, 
33.37202, -112.01657, 
33.37198, -112.01671, 
33.37195, -112.01685, 
33.37194, -112.01699, 
33.37194, -112.01711, 
33.37198, -112.01724, 
33.37202, -112.01737, 
33.37205, -112.01749, 
33.37208, -112.01761, 
33.37210, -112.01775, 
33.37211, -112.01788, 
33.37209, -112.01803, 
33.37204, -112.01822, 
33.37199, -112.01836, 
33.37194, -112.01848, 
33.37189, -112.01859, 
33.37183, -112.01870, 
33.37180, -112.01882, 
33.37179, -112.01896, 
33.37179, -112.01908, 
33.37180, -112.01920, 
33.37182, -112.01932, 
33.37185, -112.01945, 
33.37188, -112.01957, 
33.37193, -112.01969, 
33.37198, -112.01981, 
33.37203, -112.01995, 
33.37208, -112.02005, 
33.37212, -112.02017, 
33.37217, -112.02030, 
33.37220, -112.02044, 
33.37221, -112.02057, 
33.37221, -112.02070, 
33.37220, -112.02083, 
33.37219, -112.02098, 
33.37218, -112.02113, 
33.37216, -112.02126, 
33.37213, -112.02140, 
33.37213, -112.02153, 
33.37210, -112.02166, 
33.37209, -112.02180, 
33.37208, -112.02192, 
33.37206, -112.02206, 
33.37206, -112.02220, 
33.37204, -112.02233, 
33.37203, -112.02247, 
33.37203, -112.02260, 
33.37202, -112.02273, 
33.37206, -112.02287, 
33.37212, -112.02299, 
33.37219, -112.02309, 
33.37225, -112.02321, 
33.37232, -112.02332, 
33.37239, -112.02344, 
33.37246, -112.02355, 
33.37253, -112.02367, 
33.37260, -112.02379, 
33.37264, -112.02392, 
33.37267, -112.02406, 
33.37269, -112.02420, 
33.37270, -112.02432, 
33.37272, -112.02445, 
33.37274, -112.02459, 
33.37276, -112.02473, 
33.37279, -112.02486, 
33.37282, -112.02501, 
33.37284, -112.02516, 
33.37286, -112.02529, 
33.37288, -112.02542, 
33.37289, -112.02555, 
33.37291, -112.02570, 
33.37294, -112.02584, 
33.37295, -112.02596, 
33.37296, -112.02609, 
33.37297, -112.02623, 
33.37299, -112.02636, 
33.37301, -112.02649, 
33.37303, -112.02662, 
33.37304, -112.02673, 
33.37305, -112.02688, 
33.37306, -112.02705, 
33.37305, -112.02721, 
33.37304, -112.02735, 
33.37303, -112.02749, 
33.37302, -112.02764, 
33.37303, -112.02778, 
33.37305, -112.02791, 
33.37307, -112.02806, 
33.37311, -112.02819, 
33.37315, -112.02832, 
33.37317, -112.02845, 
33.37320, -112.02859, 
33.37322, -112.02873, 
33.37325, -112.02887, 
33.37329, -112.02900, 
33.37331, -112.02913, 
33.37333, -112.02927, 
33.37336, -112.02942, 
33.37340, -112.02955, 
